,Abbr,Fullform
4021,LY2,Love You Too
4022,LY4E,Love You Forever
4023,LYA,Love You Always
4024,LYAAF,Love You As A Friend
4025,LYB,Love You Bye
4026,LYF,Love You Forever
4027,LYK,Let you know
4028,LYKE,Like
4029,LYL,Love You Lots
4030,LYLAB,Love You Like A Brother
4031,LYLAF,Love You Like A Friend
4032,LYLAS,Love You Like A Sister
4033,LYLC,Love You Like Crazy
4034,LYLMB,Love You Like My Brother
4035,LYLT,Love You Long Time
4036,LYM,Love You More
4037,LYMI,Love You Mean It
4038,LYMY,Love You Miss You
4039,LYMYWY,Love You Miss You Want You
4040,LYR,Love You Really
4041,LYSM,Love You So Much
4042,LYT,Love You Too
4043,LYTD,Love You To Death
4044,LZ,Landing Zone
4045,M$,Microsoft
4046,M&D,Mum and Dad
4047,M&M,Small chocolate candy
4048,M&S,Marks & Spencer
4049,M/F,Male
4050,M/O,Make Out
4051,M2,Me Too
4052,M2AF,Message To All Friends
4053,M2D,Make my day
4054,M2FP,My Two Favorite People
4055,M3,BMW sports car
4056,M33T,Meet
4057,M4W,Man looking for a woman
4058,M8,Mate
4059,MA,Mom alert
4060,MAAB,Male-Assigned At Birth
4061,MAC,Media Access Control
4062,MACHING,Going at maximum Speed
4063,MACK,Flirt
4064,MAD,Really
4065,MADD,Mothers Against Drunk Driving
4066,MAG,Magazine
4067,MAGGOT,Fan of the band Slipknot
4068,MAH,My
4069,MAJ,Major
4070,MAL,Mean bad evil
4071,MAMAW,Grandmother
4072,MAMI,Sexy Baby
4073,MAN U,Manchester United Football Club
4074,MANC,Person from Manchester
4075,MANDEM,Group of men
4076,MANDO,Mandatory
4077,MANDY,MDMA
4078,MANG,Man
4079,MANKY,Nasty
4080,MANU,MAN U
4081,MAP,Man-Alien-Predator
4082,MAPOTI,Most Annoying People On The Internet
4083,MARK,Target
4084,MARY JANE,Marijuana
4085,MAS,Mildly Amused Smirk
4086,MASC,Masculine
4087,MASH UP,Song made from bits of other songs
4088,MATE,Friend
4089,MAUH,Kiss
4090,MAUI WOWIE,Marijuana
4091,MAW,Might As Well
4092,MAWOY,May Angels Watch Over You
4093,MAYN,Man
4094,MB,Megabyte
4095,MBA,Masters of Business Association
4096,MBD,My Bad Dudes
4097,MBF,My Best Friend
4098,MBFAM ,My Brother From Another Mother
4099,MBM,Married Black Male
4100,MBN,Must Be Nice
4101,MBO,Must Be Off
4102,MBPS,MegaBits
4103,MBR,Master Boot Record
4104,MBT,Masai Barefoot Technology
4105,MBW,Married Black Woman
4106,MC,Master of Ceremonies
4107,MCD,McDonald's
4108,MCL,Much Clown Love
4109,MCM,Man Crush Monday
4110,MCP,Male Chauvanist Pig
4111,MCR,My Chemical Romance 
4112,MD,Doctor of Medicine
4113, MCR,My Chemical Romance 
4114,MD,Doctor of Medicine
4115,MDA,Drug related to Ecstasy 
4116,MDF,Medium Density Fiberboard
4117,MDK,Murder Death Kill
4118,MDMA,34-Methylenedioxymethamphetamine
4119,MDR,Mort De Rire
4120,MDW,Memorial Day Weekend
4121,ME GUSTA,I like
4122,ME2,Me Too
4123,MEAN,Cool
4124,MEATHEAD,Muscular but dumb person
4125,MEC,Dude
4126,MED,Medication
4127,MEDS,Medications
4128,MEEP,An exclamation for any situation
4129,MEETER,Person who likes to look at fat men
4130,MEG,Megabyte
4131,MEGO,My Eyes Glazed Over
4132,MEH,Indifference
4133,MELT,Idiot
4134,MEME,An idea that spreads like a virus by word of mouth email blogs etc
4135,MENTHOL,Mint flavored cigarette
4136,MEP,Member of the European Parliament
4137,MER,boredom
4138,MERC,Mercenary
4139,MERK,Kill
4140,MERP,Meaningless word for when you don't know what else to say
4141,MERT,Mate
4142,MESOS,Currency in the game Maple Story
4143,MESSRS,Messieurs
4144,METH,Methamphetamine
4145,MEX,Low grade marijuana from Mexico
4146,MFC,Mildly Fat Chick
4147,MFEO,Made For Each Other
4148,MFG,Mit Freundlichen Gruessen
4149,MFL,Marked For Later
4150,MFW,My Face When ...
4151,MG,Machine Gun
4152,MGBY,May God Bless You
4153,MGD,Miller Genuine Draft
4154,MGK,Machine Gun Kelly
4155,MGM,Male Genital Mutilation
4156,MGMT,The Management 
4157,MGO,Metal Gear Online 
4158,MGS,Metal Gear Solid 
4159,MH,Map Hack
4160,MHBFY,My Heart Bleeds For You
4161,MHM,MHMM
4162,MHMM,Yes sure OK
4163,MHO,My Honest Opinion
4164,MHOTY,My Hat's Off To You
4165,MHR,Many Happy Returns
4166,MHZ,Megahertz
4167,MI6,Military Intelligence Service 6
4168,MIA,Missing In Action
4169,MIB,Men In Black
4170,MIC,Microphone
4171,MID,Mid grade marijuana
4172,MIDI,Musical Instrument Digital Interface
4173,MIFF,Annoy
4174,MIGA,Make It Go Away
4175,MIH,Make It Happen
4176,MIHOP,Made It Happen on Purpose
4177,MIL,Mother In Law
4178,MILEAGE,Value for money
4179,MILL,Million
4180,MIMBO,Male BIMBO
4181,MIMO,Multiple Input Multiple Output
4182,MIN,Minute
4183,MINES,Mine
4184,MINGA,Minger
4185,MINGER,Ugly person
4186,MINGING,Dirty
4187,MINT,Nice
4188,MINTED,Rich
4189,MINX,Cheeky
4190,MIP,Minor In Possession
4191,MIPS,Million Instructions Per Second
4192,MIRIN,Admiring
4193,MIRL,Meet In Real Life
4194,MIS,Miserable
4195,MISB,Mint condition In Sealed Box
4196,MISC,Miscellaneous
4197,MISH,Missionary position
4198,MISO,My Internet Shut Off
4199,MISSION,Arduous or boring task
4200,MIT,Massachusetts Institute of Technology
4201,MIXOLOGY,Study of mixing drinks
4202,MIZ,Miserable
4203,MJ,Michael Jackson
4204,MK,Mm OK
4205,MKAY,Okay
4206,MKZ,Facebook
4207,ML,Much Love
4208,MLAS,My Lips Are Sealed
4209,MLB,Major League Baseball
4210,MLG,Major League Gaming
4211,MLIA,My Life Is Average
4212,MLIB,My Life Is Bro
4213,MLIG,My Life Is Great
4214,MLIM,My Life Is Magic
4215,MLM,Middle finger 
4216,MLP,My Little Pony
4217,MLRS,MLAS
4218,MLS,My Life Sucks
4219,MLTR,Multiple Long Term Relationships
4220,MLYP,Much Like Your Post
4221,MM,Married Man
4222,MM2,Message Mode 2
4223,MMA,Meet Me At...
4224,MMAMP,Meet Me At My Place
4225,MMAO,Make Me An Offer
4226,MMC,MultiMedia Card
4227,MMD,Make My Day
4228,MMH,Meet Me Halfway
4229,MMI,Me Myself and I
4230,MMJ,Medical Marijuana
4231,MMK,Mm OK
4232,MML,Made Me Laugh
4233,MMM,pleasure
4234,MMO,Short for MMORPG
4235,MMOFPS,Massively Multiplayer Online First Person Shooter
4236,MMORPG,Massively Multiplayer Online Role Playing Game
4237,MMS,Multimedia Messaging Service
4238,MMT,Makes Me Think
4239,MMV,Mileage May Vary
4240,MNC,Mobile Network Code
4241,MNF,Monday Night Football
4242,MNM,Eminem 
4243,MNT,Maybe Next Time
4244,MO,Modus Operandi
4245,MO PO,Mounted Police
4246,MOAB,Mother of All Bombs
4247,MOAM,Man On A Mission
4248,MOAR,More
4249,MOAS,Mother Of All Secrets
4250,MOBA,Multiplayer Online Battle Arena
4251,MOBBING,Bullying
4252,MOBO,Motherboard
4253,MOC,Marriage Of Convenience
4254,MOD,Modification
4255,MODEM,Modulator-Demodulator
4256,MOE,Fetish
4257,MOH,My Other Half
4258,MOI,Me
4259,MOJO,Sex appeal
4260,MOL,More Or Less
4261,MOLL,Gangster's GF
4262,MOLLY,MDMA
4263,MOMO,Annoying person
4264,MON,Man
4265,MONG,Complete idiot
4266,MONROE,Piercing between nose and upper lip
4267,MOO,Matter of Opinion
4268,MOOK,Idiot
4269,MOOLA,Money
4270,MOOLAH,Money
4271,MOP,Hair on head
4272,MOPO,Master Of the Painfully Obvious
4273,MOQ,Minimum Order Quantity
4274,MORF,Male or Female
4275,MOS,Mom Over Shoulder
4276,MOSH,Push
4277,MOSS,Relax
4278,MOT,Ministry Of Transport test for car safety
4279,MOTA,Marijuana
4280,MOTB,Mother Of The Bride
4281,MOTD,Message Of The Day
4282,MOTKU,Master Of The Known Universe
4283,MOTO,Master Of The Obvious
4284,MOTORBOATING,Nuzzling a woman's chest whilst making a noise
4285,MOTWYW,Make Of That What You Will
4286,MOU,Memorandum Of Understanding
4287,MOW,Eat very fast
4288,MOXY,Courage
4289,MP,Military Police
4290,MP3,Music file
4291,MP4,Music
4292,MP5,Heckler and Koch submachine gun
4293,MPA,Music Publishers' Association
4294,MPAA,Motion Picture Assosciation of America
4295,MPE,My Point Exactly
4296,MPEG,Moving Picture Experts Group
4297,MPG,Miles Per Gallon
4298,MPH,Miles Per Hour
4299,MPO,My Personal Opinion
4300,MPOG,Multiplayer Online Game
4301,MPOS,Multiple Positions
4302,MPREG,Male Pregnancy
4303,MPUA,Master Pick Up Artist
4304,MPV,Multi-Purpose Vehicle
4305,MR,Mentally Retarded
4306,MRA,Man bra
4307,MRE,Meal Ready to Eat
4308,MRI,Magnetic Resonance Imaging
4309,MRP,Manufacturer's Recommended Price
4310,MRW,My Reaction When...
4311,MS,Microsoft
4312,MS-DOS,Microsoft Disk Operating System
4313,MSDN,Microsoft Developer Network
4314,MSDOS,Microsoft Disk Operating System
4315,MSF,Male Seeking Female
4316,MSFAM,My Sister From Another Mister
4317,MSFT,Microsoft 
4318,MSG,Message
4319,MSI,Mindless Self Indulgence 
4320,MSM,Mainstream Media
4321,MSN,Microsoft Network
4322,MSR,Mulder
4323,MSRP,Manufacturer's Suggested Retail Price
4324,MST,Mystery Science Theater
4325,MT,Mistell
4326,MTA,More Than Anything
4327,MTB,Mountain Bike
4328,MTBF,Mean Time Between Failures
4329,MTBMW,May The Best Man Win
4330,MTC,More To Come
4331,MTD,Month To Date
4332,MTE,My Thoughts Exactly
4333,MTF,Male To Female
4334,MTFBWU,May The Force Be With You
4335,MTFBWY,May The Force Be With You
4336,MTG,Magic: The Gathering
4337,MTH,Month
4338,MTL,Montreal Canada
4339,MTLBWY,May The Lord Be With You
4340,MTO,Media Take Out
4341,MTUK,More Than You Know
4342,MTV,Music Television
4343,MTW,Mum's the Word
4344,MTYK,More Than You Know
4345,MU,Multi User
4346,MUA,Make-Up Alley
4347,MUAH,The sound of giving a kiss
4348,MUAHA,An evil laugh
4349,MUAHZ,Kisses
4350,MUAK,MUAH
4351,MUCHO,Much
4352,MUCK,Ugly
4353,MUD,Multi-User Dungeon
4354,MUD DUCK,Ugly woman
4355,MUDKIP,Water Pokemon
4356,MUDSHARK,White woman dating black men
4357,MUFC,Manchester United Football Club
4358,MUFFIN TOP,Fat spilling out over the top of pants
4359,MUG,Rob somebody
4360,MUGSHOT,Head and shoulders picture
4361,MUH,Me
4362,MULA,Money
4363,MULE,Person who carries something for someone else
4364,MULLET,Hairstyle
4365,MULTI,Player with multiple online accounts
4366,MULU,Miss You Love You
4367,MUM,Mom
4368,MUNG,Mash Until No Good
4369,MUNTED,Drunk
4370,MUNTER,Ugly woman
4371,MUPPET,Stupid person
4372,MURK,Kill
4373,MURKED,Badly defeated
4374,MURSE,Man purse
4375,MUSH,Friend
4376,MUSM,Miss You So Much
4377,MUVM,Miss You Very Much
4378,MUX,Multiplex
4379,MV,Music Video
4380,MVA,Motor Vehicle Accident
4381,MVP,Most Valuable Player
4382,MW2 ,Modern Warfare 2 
4383,MW3,Modern Warfare 3 
4384,MWA,Kiss
4385,MWAH,Kiss
4386,MWC,Married With Children
4387,MWF,Married White Female
4388,MWHA,Kiss
4389,MWI,Mad With It
4390,MWM,Married White Male
4391,MWPP,Moony Wormtail Padfoot and Prongs 
4392,MX,Motocross
4393,MY B,My Bad
4394,MY BAD,apology
4395,MY BOO,My Boyfriend
4396,MY FOOT,disbelief
4397,MY SIZE,My type of girl
4398,MYB,Mind Your Business
4399,MYCH,Maybe You Can Help
4400,MYF,Miss Your Face
4401,MYGGWY,May Your God Go With You
4402,MYL,Miss You Loads
4403,MYMP,Make Your Mama Proud
4404,MYOB,Mind Your Own Business
4405,MYODB,Mind Your Own Damn Business
4406,MYSM,Miss You So Much
4407,MYSPACE,A social networking site
4408,MYT,Meet You There
4409,N,And
4410,N/A,NA
4411,N/C,Not Cool
4412,N/T,No Text
4413,N00B,Newbie
4414,N1,Nice One
4415,N1C3,Nice
4416,N2B,Not Too Bad
4417,N2G,Need To Go
4418,N2K,Nice To Know
4419,N2M,Not Too Much
4420,N2MU,Nice To Meet You
4421,N2S,Needless To Say
4422,N3,No Name Noob
4423,N4P,Noob
4424,N8,Night
4425,NA,Not Available
4426,NAA,Not At All
4427,NAACP,National Association for the Advancement of Colored People
4428,NAB,NOOB
4429,NABD,Not A Big Deal
4430,NAC,Not A Chance
4431,NACKER,Irish gypsy
4432,NACKERED,Tired
4433,NADA,Nothing
4434,NADDA,Nothing
4435,NAE,No
4436,NAE,No
4437,NAFF,Poor quality
4438,NAGL,Not A Good Look
4439,NAH,No
4440,NAHMEAN,You know what I mean
4441,NAIJA,Nigerian
4442,NAIL IT,Complete
4443,NAK,Nursing At Keyboard
4444,NAL,Need A Life
4445,NALGAS,Buttocks
4446,NALGO,Not A Lot Going On
4447,NALOPKT,Not A Lot Of People Know That.
4448,NAMASTE,Sanskrit greeting
4449,NAMBLA,North American Man
4450,NAMEAN,Do you know what I mean
4451,NANA,Grandmother
4452,NANG,Cool
4453,NAO,Now
4454,NAP,Not A Problem
4455,NAPES,No
4456,NAPSTER,File sharing site
4457,NARF,Random interjection
4458,NARK,Informer
4459,NARP,Non-Athletic Regular Person
4460,NARU,Not A Registered User
4461,NAS,Network Attached Storage
4462,NASA,National Aeronautics and Space Administration
4463,NASCAR,National Association for Stock Car Auto Racing
4464,NASDAQ,National Association of Securities Dealers Automated Quotation
4465,NASL,Name Age Sex Location
4466,NATCH,Naturally
4467,NATI,Cincinnati
4468,NATM,Not At The Moment
4469,NATO,North Atlantic Treaty Organization
4470,NATTY,Natural Light beer
4471,NATTY LIGHT,Natural Light beer
4472,NAW,No
4473,NAWF,North
4474,NAWL,No
4475,NAWM,Know What I Mean
4476,NAWT,Not
4477,NAY,No
4478,NB,Not Bad
4479,NBA,National Basketball Association
4480,NBB,Never Been Better
4481,NBC,National Broadcasting Company
4482,NBD,No Big Deal
4483,NBF,New Best Friend
4484,NBG,Nasty But Good
4485,NBIF,No Basis In Fact
4486,NBK,Natural Born Killers
4487,NBM,Nil By Mouth
4488,NBSB,No Boyfriend Since Birth
4489,NBT,Nothing But Trouble
4490,NBTD,Nothing Better To Do
4491,NBTW,Now Back To Work
4492,NC,No Comment
4493,NC-17,No Children under 17 
4494,NCAA,National Collegiate Athletic Association
4495,NCB,Never Coming Back
4496,NCIS,Naval Criminal Investigative Service 
4497,NCMO,Non-Committal Make Out
4498,NCNR,Non-Cancelable Non-Returnable
4499,NCNS,No Call No Show
4500,NCO,Non-Commissioned Officer
4501,ND,And
4502,NDA,Non-Disclosure Agreement
4503,NDE,Near Death Experience
4504,NDI,Neither Do I
4505,NDN,Indian
4506,NDP,New Democratic Party
4507,NDR,Non-Delivery Report
4508,NDS,Nintendo DS
4509,NE,Any
4510,NE1,Anyone
4511,NEA,National Education Association
4512,NEAT-O,Cool
4513,NECRO,Revive a very old forum thread
4514,NED,Non-Educated Delinquent
4515,NEDM,Not Even Doom Music
4516,NEE,Maiden name indicator
4517,NEEK,A cross between a Nerd and a Geek
4518,NEET,Not in Education Employment or Training
4519,NEF,Person who posts pointless messages on forums
4520,NEFIN,Anything
4521,NEG,Negative
4522,NEGL,Not Even Gonna Lie
4523,NEGU,Never Ever Give Up
4524,NEI,Not Enough Information
4525,NEL,No
4526,NEOCON,Neo-conservative
4527,NER,Non-Existent Relationship
4528,NERD,Intelligent but socially inept person
4529,NERF,Weaken
4530,NES,Nintendo Entertainment System
4531,NET,Internet
4532,NETIQUETTE,Etiquette on the internet
4533,NETWORK,Two or more connected computers
4534,NEWAY,Anyway
4535,NEWB,Newbie
4536,NEWBIE,New Person
4537,NEWFAG,Newcomer
4538,NEWPORT,Cigarette brand
4539,NEXY,Nerdy And Sexy
4540,NEY,No
4541,NF,Not Funny
4542,NFA,No Further Action
4543,NFAA,Not Funny At All
4544,NFI,No Freakin Idea
4545,NFL,National Football League
4546,NFM,No Further Message
4547,NFN,Normal For Norfolk
4548,NFS,Not For Sale
4549,NFSW,Not For Showing Wife
4550,NFT,No Further Text
4551,NFY,Not Fixed Yet
4552,NFZ,No Fly Zone
4553,NG,No Good
4554,NGH,Not Gonna Happen
4555,NGL,Not Gonna Lie
4556,NGO,Non-Governmental Organization
4557,NGU,Never Give Up
4558,NGUNS,Never Give Up
4559,NH,Nice hand
4560,NHB,No Holding Back
4561,NHD,No Harm Done
4562,NHF,No Hard Feelings
4563,NHFT,Not Here For That
4564,NHL,National Hockey League
4565,NHN,Not Here Now
4566,NHOI,Never Heard Of It
4567,NHS,National Health Service
4568,NHTB,Never Heard That Before
4569,NI,No Idea
4570,NIAMY,Never In A Million Years
4571,NIB,New In Box
4572,NIC,Network Interface Card
4573,NICE,National Institute of Clinical Excellence
4574,NICKED,Stolen
4575,NICKER,Pound
4576,NICU,Neonatal Intensive Care Unit
4577,NID,Never In Doubt
4578,NIHAO,Hello
4579,NIK,Now I Know
4580,NIKE,American sportswear company
4581,NIL,Zero
4582,NILF,Nerd I'd Like To F***
4583,NIMBY,Not In My Back Yard
4584,NIML,Never In My Life
4585,NIMROD,Stupid person
4586,NIN,Nine Inch Nails
4587,NINJA,Japanese warrior
4588,NIP,Derogatory term for a Japanese person
4589,NIR,NOOB In Room
4590,NISM,Need I Say More
4591,NIT,New In Town
4592,NITE,Good Night
4593,NITM,Not In The Mood
4594,NITW,Not In That Way
4595,NIX,Destroy
4596,NIZZ,No
4597,NJ,Not Joking
4598,NK,No Kidding
4599,NKA,No Known Allergies
4600,NKOTB,New Kid On The Block
4601,NKT,annoyance
4602,NKZ,No Kill Zone
4603,NL,Netherlands
4604,NLA,No Longer Available
4605,NLI,Not Logged In
4606,NLM,No Laughing Matter
4607,NLOL,Not LOL
4608,NLT,No later than...
4609,NLYG,Never Let You Go
4610,NM,Never Mind
4611,NME,New Musical Express 
4612,NMF,Not My Fault
4613,NMG,No Mames Guey 
4614,NMH,Nodding My Head
4615,NMI,Need More Info
4616,NMJ,Not My Job
4617,NMJC,Not Much Just Chat
4618,NMJCU,Not Much Just Chillin' U
4619,NMN,No Middle Name
4620,NMO,Not My Opinion
4621,NMP,Not My Problem
4622,NMR,Not My Responsibility
4623,NMS,Not My Style
4624,NMT,Not My Type
4625,NMU,Not Much You
4626,NMW,No Matter What
4627,NMWH,No Matter What Happens
4628,NMY,Nice Meeting You
4629,NN,Night Night
4630,NNITO,Not Necessarily In That Order
4631,NNTO,No Need To Open
4632,NNTP,Network News Transfer Protocol
4633,NNTR,No Need To Reply
4634,NO,No Offence
4635,NO BIGGIE,No big deal
4636,NO WORRIES,OK no problem
4637,NO-BRAINER,no thought before deciding
4638,NO1,No-One
4639,NO1CURR,No-One Cares
4640,NOC,No One Cares
4641,NOCAL,Northern California
4642,NOD,Doze off
4643,NOH,New Overhauled
4644,NOI,No Offense Intended
4645,NOK,Not Okay
4646,NOKD,Not Our Kind Dear
4647,NOLA,New Orleans Louisana
4648,NOLY,No One Likes You
4649,NOM,No Offence Meant
4650,NOMB,None Of My Business
4651,NOMMY,Good
4652,NOMNOM,Sound of eating
4653,NOMS,Food
4654,NON,Now Or Never
4655,NONG,Idiot
4656,NONY,Anonymous person
4657,NONYA,None of Your 
4658,NOOB,New inexperienced person
4659,NOOB TUBE,Grenade launcher attachment in COD4
4660,NOOBLET,Young NOOB
4661,NOOPS,Backward spoon
4662,NOP,Not Our Problem
4663,NOPE,No
4664,NORCAL,Northern California
4665,NORLY,No Really
4666,NORM,Normal
4667,NOS,New Old Stock
4668,NOSA,No Sir just kidding
4669,NOTA,None Of The Above
4670,NOTB,None Of Their Business
4671,NOTTIE,Unattractive person
4672,NOTW,Not Of This World
4673,NOU,No You
4674,NOUT,Nothing
4675,NOV,Novice
4676,NOWT,Nothing
4677,NOYB,None Of Your Business
4678,NOYDB,None Of Your Damn Business
4679,NOZ,Nitrous oxide
4680,NP,No Problem
4681,NPAA,No Problem At All
4682,NPC,Non Player Character
4683,NPI,No Pun Intended
4684,NPNT,No Picture No Talk
4685,NPO,Never Pull Out
4686,NPR,National Public Radio
4687,NPS,No Problems
4688,NPW,No Problem Whatsoever
4689,NPZ,No Problems
4690,NQAT,No Question About That
4691,NQR,Not Quite Right
4692,NR,No Reply
4693,NRA,National Rifle Association
4694,NRE,New Relationship Energy
4695,NRFB,Never Removed From Box
4696,NRG,Energy
4697,NRI,Non-Resident Indian
4698,NRL,National Rugby League
4699,NRN,No Reply Necessary
4700,NSA,No Strings Attached
4701,NSAW,Not Saying A Word
4702,NSD,Never Say Die
4703,NSF,Not Sufficient Funds
4704,NSFA,Not Safe For Anyone
4705,NSFL,Not Safe For Life
4706,NSFTBC,Not Sorry For The Broadcast
4707,NSFV,Not Safe for Viewing
4708,NSFW,Not Safe For Work
4709,NSM,Not So Much
4710,NSN,Not So Nice
4711,NSPCC,National Society for Prevention of Cruelty to Children
4712,NSW,New South Wales
4713,NT,No Thanks
4714,NTB,Not That Bothered
4715,NTBCW,Not To Be Confused With
4716,NTD,Nothing To Do
4717,NTFS,New Technology File System
4718,NTH,Nothing
4719,NTK,Need To Know
4720,NTL,NeverTheLess
4721,NTM,Not Too Much
4722,NTMU,Nice To Meet You
4723,NTMY,Nice To Meet You
4724,NTN,No Thanks Needed
4725,NTR,Nothing To Report
4726,NTS,Nothing To Say
4727,NTSC,National Television System Committee video standard
4728,NTSH,Nothing To See Here
4729,NTT,Name That Tune
4730,NTTAWWT,Not That There's Anything Wrong With That
4731,NTTU,Not Talking To You
4732,NTW,Not To Worry
4733,NTWF,Neopian Times Writers Forum
4734,NTY,No Thank You
4735,NU,No
4736,NUB,Someone who should know better
4737,NUBE,NOOB
4738,NUF,Enough
4739,NUFF,Enough
4740,NUFFIN,Nothing
4741,NUG,High quality bud of marijuana
4742,NUH,No
4743,NUKE,To attack with a nuclear weapon
4744,NUM,Tasty
4745,NUMPTY,Idiot
4746,NUN,Nothing
4747,NUNYA,None of Your business
4748,NUS,National Union of Students
4749,NUTCASE,Crazy person
4750,NUTZ,Nuts
4751,NUU,No
4752,NV,Never
4753,NVM,Nevermind
4754,NVMD,Never Mind
4755,NVMS,No Visible Means of Support
4756,NVN,Not Very Nice
4757,NVNG,Nothing Ventured Nothing Gained
4758,NVRM,Never Mind
4759,NW,No Way
4760,NWIH,No Way In Hell
4761,NWIM,Not What I Mean
4762,NWJ,No Way Jose
4763,NWLY,Never Wanna Lose You
4764,NWM,No Worries Mate
4765,NWNC,No Woman No Cry
4766,NWO,New World Order
4767,NWOT,New Without Tags 
4768,NWS,Not Work Safe
4769,NWT,New With Tags
4770,NY,New York
4771,NYB,Not Your Business
4772,NYC,New York City
4773,NYD,New Year's Day
4774,NYE,New Years Eve
4775,NYERK,Replacement swearword
4776,NYF,Not Your Fault
4777,NYK,Not Yet Known
4778,NYOB,Not Your Own Business
4779,NYP,Not Your Problem
4780,NYPD,New York Police Department
4781,NYSE,New York Stock Exchange
4782,NYT,Not Your Type
4783,NYU,New York University
4784,O,Ounce
4785,O RLY,Oh Really
4786,O&O,Over and Out
4787,O-O,Shock
4788,O.O,Wide eyed
4789,O/,High five
4790,O/\O,High five
4791,O7,Salute
4792,O:),Innocent
4793,O:-),Innocent
4794,OA,Over Acting
4795,OAN,On Another Note
4796,OAO,Over And Out
4797,OAP,Old Age Pensioner
4798,OATUS,On A Totally Unrelated Subject
4799,OAUS,On An Unrelated Subject
4800,OB,Oh Brother
4801,OBBY,Oh Baby
4802,OBE,Overcome By Events
4803,OBGYN,Gynecologist
4804,OBHWF,One Big Happy Weasely Family
4805,OBO,Or Best Offer
4806,OBQ,Oh Be Quiet
4807,OBS,Obviously
4808,OBTW,Oh By The Way
4809,OBV,Obviously
4810,OBVI,Obviously
4811,OBVS,Obviously
4812,OBVY,Obviously
4813,OBVZ,Obviously
4814,OBX,Outer Banks North Carolina
4815,OC,Of Course
4816,OCD,Obsessive Compulsive Disorder
4817,OCH,Oh
4818,OCN,Of Course Not
4819,OCO,Oh Come On
4820,OCR,Optical Character Recognition
4821,OCT,On Company Time
4822,OD,Overdose
4823,ODAAT,One Day At A Time
4824,ODEE,OD
4825,ODF,Own Damn Fault
4826,ODG,Oh Dear God
4827,ODL,Oh Dear Lord
4828,ODST,Orbital Drop Shock Trooper
4829,ODT,On Dis Ting
4830,OE,Outlook Express
4831,OED,Oxford English Dictionary
4832,OEM,Original Equipment Manufacurer
4833,OFAY,Offensive term for a white person
4834,OFC,Of Course
4835,OFGS,Oh For God's Sake
4836,OFH,Old Folks' Home
4837,OFOC,Overwhelming Feelings of Concern
4838,OFWGKTA,Odd Future Wolf Gang Kill Them All
4839,OG,Original Gangster
4840,OGIM,Oh God It's Monday
4841,OGK,Only God Knows
4842,OGM,misspelling of OMG
4843,OGN,Online Gaming Network
4844,OH,Other Half
4845,OHAC,Own House And Car
4846,OHAI,Oh Hi
4847,OHIM,Oh Hell It's Monday
4848,OHK,OhOk
4849,OHKO,One Hit Knock Out
4850,OHN,Oh Hell No!
4851,OHS,Operator Head Space
4852,OHT,One Handed Typing
4853,OHW,One Hit Wonder
4854,OI,Hey
4855,OIC,Oh I See
4856,OIK,Unpleasant
4857,OIY,Hey
4858,OJ,Only Joking
4859,OJD,Obsessive Jonas Disorder
4860,OJT,On Job Training
4861,OK,Only Kidding
4862,OKC,Oklahoma City
4863,OKEY DOKEY,OK
4864,OKI,Okey Dokey
4865,OKIES,Okay
4866,OKW/E,OK What-Ever
4867,OL,Online
4868,OLD BAG,Grumpy old woman
4869,OLD LADY,Wife
4870,OLDFAG,Long established member of an online community
4871,OLED,Organic Light-Emitting Diode
4872,OLLG,One Less Lonely Girl
4873,OLOY,Only Losers Obey Yolo
4874,OLTL,One Life To Live
4875,OM,Old Man
4876,OM NOM,Sound of eating
4877,OMA,Oh My Allah
4878,OMB,On My Break
4879,OMD,Oh My Days
4880,OMDB,Over My Dead Body
4881,OMDS,OMD
4882,OMDZ,Oh My Dayz
4883,OMFSM,Oh My Flying Spaghetti Monster
4884,OMFUG,Other Music Found UnderGround
4885,OMG,Oh My God
4886,OMGA,Oh My Giddy Aunt
4887,OMGD,Oh My God Dude
4888,OMGNA,Oh My Gosh Not Again
4889,OMGSH,Oh My Gosh
4890,OMGZ,OMG
4891,OMJ,Oh My Jonas
4892,OMJC,Oh My Jesus Christ
4893,OML,Oh My Lord
4894,OMS,Oh My Science
4895,OMSJ,Oh My Sweet Jesus!
4896,OMT,One More Thing
4897,OMW,On My Way
4898,OMWH,On My Way Home
4899,OMZ,Oh My Zeus
4900,ON ONE,Under the influence of drugs
4901,ON9,Stupid
4902,ONCO,Or Nearest Cash Offer
4903,ONE,One Love
4904,ONE OFF,Happened Once
4905,ONG ,OMG
4906,ONION,Ounce of a drug
4907,ONL,Online
4908,ONM,Oh Never Mind
4909,ONNA,Oh No Not Again
4910,ONNTA,Oh No Not This Again
4911,ONO,Or Nearest Offer
4912,ONOZ,Oh No
4913,ONS,One Night Stand
4914,ONTD,Oh No They Didn't
4915,ONUD,Oh No You Didn't
4916,ONYD,Oh No You Didn't
4917,OO,Object Orientated
4918,OOA,Out Of Ammo
4919,OOAK,One Of A Kind
4920,OOBE,Out Of Body Experience
4921,OOC,Out Of Control
4922,OOF,Out Of Office
4923,OOFT,Sound made when impressed by something
4924,OOH,Out Of Here
4925,OOI,Out Of Interest
4926,OOM,Out Of Mana
4927,OOMF,One Of My Friends
4928,OOML,Out Of My League
4929,OOMM,Out Of My Mind
4930,OOO,Out Of Office
4931,OOP,Out Of Place
